feature,CiviFlux_v1_plan,EU_LDT_Urban_Flow,The_World_Avatar,CReDo,rescuePY_TUM,NYU_FDNY_TDT,SUMO_LLM_Agent,FireCom,notes
road_closure_what_if,yes,yes,partial,unknown,partial,partial,yes,unknown,Use source-backed interpretation; partial if adjacent but not same workflow.
microscopic_or_agent_traffic_simulation,yes,yes,partial,unknown,yes,yes,yes,unknown,CReDo/FireCom focus different domains.
emergency_response_linkage,yes,unknown,partial,partial,yes,yes,unknown,partial,Different depth/actors across systems.
urban_fire_incident_external_network_impact,yes,unknown,unknown,unknown,partial,unknown,partial,partial,"CiviFlux target is network/service external impact, not smoke/CFD."
fire_smoke_physics_or_prediction,no,unknown,unknown,unknown,unknown,unknown,unknown,yes,Explicit non-goal for CiviFlux v1.
dynamic_or_typed_knowledge_graph,yes,unknown,yes,yes,unknown,unknown,unknown,unknown,CiviFlux uses scenario-local projection over operational ontology.
typed_operational_actions,yes,unknown,partial,partial,unknown,unknown,partial,unknown,CiviFlux actions are ontology-level scenario edits; SUMO agent actions are not same semantic contract.
pagerank_or_graph_diffusion_criticality,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Do not infer absence beyond public docs.
baseline_event_delta_criticality,yes,unknown,unknown,unknown,partial,unknown,unknown,unknown,CiviFlux specifically defines comparable paired Δ-PPR.
web_interface,yes,yes,yes,yes,unknown,unknown,yes,yes,Embeddable component is stricter than having a web app.
embeddable_plugin_not_platform,yes,partial,no,no,unknown,unknown,no,no,"Architecture category, not quality judgment."
self_host_data_local,yes,yes,yes,partial,partial,unknown,yes,partial,Verify deployment docs before final publication.
3d_required,no,no,no,no,no,no,no,partial,FireCom uses 3D urban infrastructure but portability details vary.
provenance_and_scenario_replay,yes,partial,yes,partial,partial,partial,partial,partial,CiviFlux v1 makes action/replay a hard gate.
