feature,project,status,source,checked_on,verification_basis,notes
road_closure_what_if,CiviFlux,yes,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,Directed/class/time restrictions tested.
road_closure_what_if,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
road_closure_what_if,The_World_Avatar,unknown,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Not established by the checked material; unknown does not mean no.
road_closure_what_if,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
road_closure_what_if,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
road_closure_what_if,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
road_closure_what_if,SUMO_LLM_Agent,yes,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,README explicitly supports network modifications and event simulation.
road_closure_what_if,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
traffic_microsimulation,CiviFlux,yes,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,Actual SUMO adapter tested; synthetic demand labelled.
traffic_microsimulation,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
traffic_microsimulation,The_World_Avatar,unknown,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Not established by the checked material; unknown does not mean no.
traffic_microsimulation,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
traffic_microsimulation,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
traffic_microsimulation,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
traffic_microsimulation,SUMO_LLM_Agent,yes,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,Project-owned SUMO loop run against supplied network/config.
traffic_microsimulation,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
public_transit_linkage,CiviFlux,partial,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,Current GTFS geometries produce unverified candidate association.
public_transit_linkage,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
public_transit_linkage,The_World_Avatar,unknown,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Not established by the checked material; unknown does not mean no.
public_transit_linkage,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
public_transit_linkage,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
public_transit_linkage,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
public_transit_linkage,SUMO_LLM_Agent,unknown,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,Not established by the checked material; unknown does not mean no.
public_transit_linkage,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
emergency_response_linkage,CiviFlux,partial,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,Explicit emergency vehicle permissions and facility access; no calibrated response prediction.
emergency_response_linkage,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
emergency_response_linkage,The_World_Avatar,unknown,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Not established by the checked material; unknown does not mean no.
emergency_response_linkage,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
emergency_response_linkage,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
emergency_response_linkage,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
emergency_response_linkage,SUMO_LLM_Agent,unknown,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,Not established by the checked material; unknown does not mean no.
emergency_response_linkage,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
fire_external_impact,CiviFlux,yes,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,Typed assumed road restrictions tied to street-level incident; no perimeter inference.
fire_external_impact,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
fire_external_impact,The_World_Avatar,unknown,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Not established by the checked material; unknown does not mean no.
fire_external_impact,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
fire_external_impact,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
fire_external_impact,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
fire_external_impact,SUMO_LLM_Agent,unknown,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,Not established by the checked material; unknown does not mean no.
fire_external_impact,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
smoke_fire_physics,CiviFlux,no,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,Explicit product exclusion.
smoke_fire_physics,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
smoke_fire_physics,The_World_Avatar,unknown,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Not established by the checked material; unknown does not mean no.
smoke_fire_physics,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
smoke_fire_physics,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
smoke_fire_physics,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
smoke_fire_physics,SUMO_LLM_Agent,unknown,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,Not established by the checked material; unknown does not mean no.
smoke_fire_physics,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
typed_ontology,CiviFlux,yes,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,Objects and typed links;48 invalid-relation mutations rejected.
